id,name,description,color,icon,is_active,created_at,updated_at
1,Transfer,Serviços de transfer de/para aeroportos,#3B82F6,flight_takeoff,true,2025-06-21 22:10:01.846627+00,2025-08-14 12:21:54.040799+00
2,City Tour NYC,Passeios turísticos dentro da cidade,#10B981,location_city,true,2025-06-21 22:10:01.846627+00,2025-06-21 22:10:01.846627+00
3,Por Hora,Contratação de motorista por um período de tempo,#F59E0B,schedule,true,2025-06-21 22:10:01.846627+00,2025-06-21 22:10:01.846627+00
6,Outros,Serviços personalizados ou especiais,#EF4444,miscellaneous_services,true,2025-06-21 22:10:01.846627+00,2025-06-21 22:10:01.846627+00
7,Outlet,,#3B82F6,,true,2025-06-23 18:24:52.618261+00,2025-06-23 18:24:52.618261+00
8,City Tour OUT,,#3B82F6,,true,2025-06-23 18:25:40.94232+00,2025-06-23 18:25:40.94232+00
9,Pier,,#3B82F6,,true,2025-06-23 18:26:53.317901+00,2025-06-23 18:26:53.317901+00
11,"Kids
",,#3B82F6,,true,2025-06-24 14:05:29.468188+00,2025-06-24 14:05:29.468188+00
12,SKI,,#3B82F6,,true,2025-06-24 14:05:44.205835+00,2025-06-24 14:05:44.205835+00
13,"City Tour Personalizado
",City Tour Temático,#3B82F6,,true,2025-06-28 22:31:03.984189+00,2025-06-28 22:31:03.984189+00
14,Rodoviário,Chegada e Saída da Penn Station,#3B82F6,,true,2025-06-28 22:33:14.553207+00,2025-06-28 22:33:14.553207+00